6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.070707 stddev:0.923897 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.969697 stddev:0.881396 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.050505 stddev:0.857218 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.878788 stddev:0.9457260000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.030303 stddev:0.881396 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.20202 stddev:0.8987059999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.606061 stddev:0.8855540000000001 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4545449999999995 stddev:0.901992 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.343434 stddev:0.911892 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.050505 stddev:0.925222 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.5252529999999997 stddev:1.076315 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.222222 stddev:0.9380350000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.111111 stddev:0.897684 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:1.018651 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.919192 stddev:0.8248260000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.30303 stddev:0.96875 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5252529999999997 stddev:0.924891 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.090909 stddev:0.81762 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.20202 stddev:0.887395 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4545449999999995 stddev:0.87931 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.181818 stddev:0.8803540000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.353535 stddev:0.879774 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.979798 stddev:0.778237 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.0101009999999997 stddev:0.958692 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.767677 stddev:0.722346 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.090909 stddev:0.964951 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.929293 stddev:0.890494 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.868687 stddev:0.7995760000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.070707 stddev:0.7817689999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.131313 stddev:0.9810989999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.252525 stddev:1.0573780000000002 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.464646 stddev:0.9461579999999999 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4848480000000004 stddev:0.967801 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.191919 stddev:0.917581 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.323232 stddev:0.8741899999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.373737 stddev:0.980475 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:8 avg:3.464646 stddev:1.121985 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.232323 stddev:0.993192 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.323232 stddev:1.042804 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.262626 stddev:0.927535 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5050510000000004 stddev:0.8804700000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4545449999999995 stddev:1.007775 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4141410000000003 stddev:0.852922 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.464646 stddev:1.057089 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.030303 stddev:0.846318 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.979798 stddev:0.7911100000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.090909 stddev:0.9753620000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.939394 stddev:0.862439 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.222222 stddev:1.124166 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.424242 stddev:0.888659 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.434343 stddev:0.9656899999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.89899 stddev:0.8225969999999999 med:3.0
