iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
44,0.316,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000000110000110000000000000000000000111100,2,5,2.989899,0.797660,3.000000,8,8,5,1,0,7,1
45,0.322,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000011110000000000000000000000000000111111,2,5,3.161616,0.884286,3.000000,8,8,5,1,0,7,1
45,0.327,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000110000000000000000000000111111,2,6,3.030303,0.858170,3.000000,7,7,6,1,0,7,1
46,0.332,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000110011000000000000000000000000111111,2,5,2.979798,0.791110,3.000000,8,8,5,1,0,7,1
47,0.337,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000001100000000000000000000111111,2,6,3.272727,0.940859,3.000000,7,7,6,1,0,7,1
48,0.342,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000011110000000000000000000000000000111111,2,5,2.949495,0.833318,3.000000,8,8,5,1,0,7,1
49,0.347,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111111,2,7,3.272727,1.032973,3.000000,7,7,7,1,0,7,1
50,0.353,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111100,2,5,3.070707,0.768739,3.000000,8,8,5,1,0,7,1
51,0.358,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100001100111100000000000000000000000000111100,2,6,3.252525,0.902784,3.000000,7,7,6,1,0,7,1
52,0.363,0,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000110011110000000000000000000000111100,2,5,3.030303,0.797148,3.000000,8,8,5,1,0,7,1
53,0.368,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111100,2,5,3.171717,0.888085,3.000000,8,8,5,1,0,7,1
53,0.373,1,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111000000110011001100000000000000000000111100,2,5,3.313131,0.883593,3.000000,8,8,5,1,0,7,1
53,0.378,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000110000000000000000000000111100,2,7,3.191919,0.960606,3.000000,7,7,7,1,0,7,1
54,0.383,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000000110011000000000000000000000000111100,2,6,2.989899,0.948097,3.000000,7,7,6,1,0,7,1
54,0.388,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111100,2,5,2.868687,0.773898,3.000000,8,8,5,1,0,7,1
55,0.393,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111000000110000000000000000000000000000111100,2,6,3.040404,0.851845,3.000000,7,7,6,1,0,7,1
56,0.398,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100110000110000110000000000000000000000111100,2,7,2.878788,0.913122,3.000000,7,7,7,0,0,7,0
