6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.1717169999999997 stddev:0.829268 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.0101009999999997 stddev:0.8468 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.858586 stddev:0.864684 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.080808 stddev:0.836983 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.121212 stddev:0.8560270000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.919192 stddev:0.799959 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.333333 stddev:0.953463 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.868687 stddev:0.8486049999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.868687 stddev:0.9061680000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.050505 stddev:0.957414 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.969697 stddev:0.9151309999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.212121 stddev:0.966852 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.8484849999999997 stddev:0.783203 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.090909 stddev:0.805172 med:3.0
4:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.070707 stddev:0.8318469999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:4 avg:2.8282830000000003 stddev:0.682248 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.070707 stddev:0.8675120000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.141414 stddev:0.974525 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.0 stddev:0.887625 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.070707 stddev:0.901766 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.131313 stddev:1.011514 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.9898990000000003 stddev:0.8703299999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.070707 stddev:0.8675120000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.232323 stddev:0.8741899999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.131313 stddev:0.991341 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.979798 stddev:0.909876 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.080808 stddev:0.960606 med:3.0
