iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
10553,53.776501,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011001111110000000000000000000000000011,2,5,3.323232,0.897002,3.000000,8,8,5,1,0,0,1
10554,53.781606,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000110000000000000000000000000011,2,6,3.505051,0.978287,3.000000,7,7,6,1,0,1,1
10555,53.786720,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000110011000000110000000000000000000000000011,2,6,3.424242,0.985664,3.000000,7,7,6,1,0,0,1
10556,53.791836,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000000110000000000000000000000000011,2,6,3.070707,0.901766,3.000000,7,7,6,1,0,0,1
10557,53.796850,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001111001100110000000000000000000000000011,2,5,3.343434,0.922903,3.000000,8,8,5,1,0,0,1
10558,53.801957,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000110000000000000000000000000011,2,8,3.434343,1.138505,3.000000,7,7,8,0,0,0,0
10559,53.807085,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000111100000000000000000000000011,2,7,3.292929,1.017548,3.000000,7,7,7,0,0,0,0
10560,53.812099,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000111100000000000000000000000011,2,6,3.565657,0.955173,4.000000,8,8,6,1,0,0,1
10561,53.817220,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000111100000000000000000000000011,2,7,3.454545,0.987525,3.000000,7,7,7,1,0,1,1
10562,53.822349,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000011000000110000000000000000000000000011,2,7,3.616162,0.971379,4.000000,7,7,7,1,0,0,1
10563,53.827458,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111111100110000000000000000000000000011,2,6,2.929293,0.831847,3.000000,7,7,6,1,0,0,1
10564,53.832474,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110011111111000000110000000000000000000000000011,2,6,3.212121,1.047100,3.000000,7,7,6,1,0,0,1
10565,53.837488,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110011111111000000110000000000000000000000000011,2,5,3.232323,0.908193,3.000000,8,8,5,1,0,0,1
10566,53.842597,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110011110011000000110000000000000000000000000011,2,6,3.232323,0.940968,3.000000,7,7,6,1,0,0,1
10567,53.847705,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000011110000000000000000000000000011,2,6,3.121212,0.956348,3.000000,7,7,6,1,0,0,1
10568,53.852720,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000011111100000000000000000000000011,2,6,3.222222,0.859358,3.000000,7,7,6,1,0,1,1
10569,53.857837,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011000011000000110000000000000000000000000011,2,7,3.565657,1.102446,3.000000,7,7,7,1,0,0,1
10570,53.862946,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100111111000000110000000000000000000000000011,2,5,3.040404,0.863622,3.000000,8,8,5,1,0,0,1
10571,53.868067,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110011000000111100000000000000000000000011,2,6,3.373737,0.970118,3.000000,7,7,6,1,0,1,1
10572,53.873169,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000000011001100110000000000000000000000000011,2,6,3.494949,1.008787,3.000000,7,7,6,1,0,0,1
10573,53.878326,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000111100000000000000000000000011,2,6,3.151515,0.925111,3.000000,7,7,6,1,0,1,1
10574,53.883542,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000000011110000110000000000000000000000000011,2,8,3.397959,1.076083,3.000000,7,7,8,1,0,0,1
10575,53.888757,3,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011110000110000000000000000000000000011,2,5,2.969388,0.762034,3.000000,8,8,5,1,0,1,1
10576,53.893966,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011000011111100110000000000000000000000000011,2,7,3.428571,1.115750,3.000000,7,7,7,1,0,0,1
10577,53.899164,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100111111001100110000000000000000000000000011,2,5,2.877551,0.811465,3.000000,8,8,5,1,0,0,1
10578,53.904309,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111100110011110000110000000000000000000000000011,2,6,3.121212,0.956348,3.000000,7,7,6,1,0,0,1
10579,53.909436,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000000110000000000000000000000000011,2,6,3.171717,0.932472,3.000000,7,7,6,1,0,1,1
10580,53.914585,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011000011000000110000000000000000000000000011,2,7,3.535354,1.076030,3.000000,7,7,7,1,0,0,1
10581,53.919728,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110000000011001100110000000000000000000000000011,2,5,3.101010,0.797660,3.000000,8,8,5,1,0,0,1
10582,53.924896,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110000110011001100110000000000000000000000000011,2,7,3.222222,1.059403,3.000000,7,7,7,1,0,0,1
10583,53.930045,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000110000000000000000000000000011,2,4,2.777778,0.746108,3.000000,8,8,4,1,0,0,1
10584,53.935153,3,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001111001100111100000000000000000000000011,2,6,3.242424,0.911109,3.000000,7,7,6,1,0,0,1
10585,53.940332,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000011110000000000000000000000001100,2,6,3.303030,0.936947,3.000000,7,7,6,1,0,1,1
10586,53.945466,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000011110011110000000000000000000000001100,2,6,3.484848,1.057571,4.000000,8,8,6,1,0,0,1
10587,53.950575,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110011110011000000110000000000000000000000001100,2,5,3.101010,0.948097,3.000000,8,8,5,1,0,0,1
10588,53.955623,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110011110011000000110000000000000000000000110011,2,6,3.080808,0.860782,3.000000,7,7,6,1,0,0,1
10589,53.960792,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000011111100000000000000000000001111,2,5,3.030303,0.869861,3.000000,8,8,5,1,0,0,1
10590,53.965986,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110011000000110000000000000000000000000000,2,6,3.191919,0.883939,3.000000,7,7,6,1,0,0,1
10591,53.971120,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001111000000110000000000000000000000000000,2,6,3.070707,0.890494,3.000000,7,7,6,1,0,0,1
10592,53.976133,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001111000000110000000000000000000000000000,2,5,3.060606,0.862439,3.000000,8,8,5,1,0,0,1
